,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,orgunitlevel6,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Malaria Deaths W25 2019,Malaria Deaths W24 2019,Malaria Deaths W23 2019,Malaria Deaths W22 2019,Malaria Deaths W21 2019,Malaria Deaths W26 2018,Malaria Deaths W25 2018,Malaria Deaths W24 2018,Malaria Deaths W23 2018,Malaria Deaths W22 2018,Malaria Deaths W26 2017,Malaria Deaths W25 2017,Malaria Deaths W24 2017,Malaria Deaths W23 2017,Malaria Deaths W22 2017,mean_current_cases,mean_mn_cases,stddev_mn_cases,mean20std_mn_cases,mean15std_mn_cases,mean_current_deaths,mean_mn_deaths,stddev_mn_deaths,mean20std_mn_deaths,mean15std_mn_deaths,reportingOrgUnitName,reportingOrgUnit,orgUnit,orgUnitName,orgUnitCode,epidemic,confirmedValue,deathValue,suspectedValue,firstCaseDate,period,endDate,disease,incubationDays,active,reminder
3,Rwanda,East,Nyagatare District,Nyagatare Sub District,RUKOMO,Amizero (Nyagatare) DISP,Hy956vhVti8,Amizero (Nyagatare) DISP,1370,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nyagatare Sub District,x3lkZeS1aqt,Hy956vhVti8,Amizero (Nyagatare) DISP,1370,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
12,Rwanda,Kigali City,Nyarugenge District,Muhima Sub District,Muhima,Bien Naitre CLIN,hlGqzZVVbGa,Bien Naitre CLIN,1121,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muhima Sub District,OoEtwLxlIHt,hlGqzZVVbGa,Bien Naitre CLIN,1121,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
28,Rwanda,South,Nyamagabe District,Kigeme Sub District,Kibirizi (Nyamagabe District),Bugarama PS,z1Q6R8xI9iD,Bugarama PS,495,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kigeme Sub District,P4eFgU1Ono1,z1Q6R8xI9iD,Bugarama PS,495,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
111,Rwanda,Kigali City,Gasabo District,Kibagabaga Sub District,Kimironko,Gasabo Prison,o7bxEE1jtCn,Gasabo Prison,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kibagabaga Sub District,GGehit0WNxN,o7bxEE1jtCn,Gasabo Prison,27,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
135,Rwanda,North,Gicumbi District,Byumba Sub District,Miyove,Gicumbi Prison,K51Y0OPfCdx,Gicumbi Prison,1102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Byumba Sub District,uhjJRQ5PIKE,K51Y0OPfCdx,Gicumbi Prison,1102,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
182,Rwanda,South,Nyanza District,Nyanza Sub District,Busasamana,Igihozo Medical Clin,TWNg4ohMleU,Igihozo Medical Clin,1387,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nyanza Sub District,hP84KHLWTST,TWNg4ohMleU,Igihozo Medical Clin,1387,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
423,Rwanda,North,Musanze District,Ruhengeri Sub District,Muhoza,Musanze Prison,uS1QBMgVnNy,Musanze Prison,536,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruhengeri Sub District,Gthhpk9cTe5,uS1QBMgVnNy,Musanze Prison,536,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
552,Rwanda,East,Nyagatare District,Nyagatare Sub District,NYAGATARE,Rapha DISP,WcwA9SRfEdf,Rapha DISP,1411,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nyagatare Sub District,x3lkZeS1aqt,WcwA9SRfEdf,Rapha DISP,1411,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
668,Rwanda,Kigali City,Nyarugenge District,Muhima Sub District,Muhima,St Joseph (Nyarugenge) DISP,G5TgMAVM506,St Joseph (Nyarugenge) DISP,1200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muhima Sub District,OoEtwLxlIHt,G5TgMAVM506,St Joseph (Nyarugenge) DISP,1200,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
676,Rwanda,North,Rulindo District,Kinihira Sub District,BASE,Turengerubuzima (Base) DISP,USIJPMfYqwF,Turengerubuzima (Base) DISP,1528,from IDSR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kinihira Sub District,Uzty5ba4fGx,USIJPMfYqwF,Turengerubuzima (Base) DISP,1528,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
687,Rwanda,Kigali City,Kicukiro District,Masaka Sub District,Kanombe,Vita Sancta Disp,KiR8S5uX2tk,Vita Sancta Disp,1552,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masaka Sub District,KQWAFrokM3M,KiR8S5uX2tk,Vita Sancta Disp,1552,true,0.0,0.0,0.0,2019-06-26,2019W22,,Malaria,14,true,false
